Region,Zone,State,Logistics Zone,Ship-To-Party Region,Distribution Channel,Business Area,Delivery Qty.,Route Distance,Shipment Description,Wheeler No.,Truck type Description,PTPK
NE,A,AS,LO3,AC,TR,G,12.5,124,PDR,6W,Market Truck,4.57
NE,B,AS,CAC,AC,TR,L,10,63,SDR,6W,Own Truck,6.83
NE,A,AS,LO2,AC,TR,G,25,176,PDR,12W,Market Truck,4.61
NE,A,AS,LO2,AC,TR,G,9.5,176,PDR,6W,Market Truck,5.24
NE,A,AS,LOW,AC,TR,G,5,92,SDR,12W,Market Truck,6.96
NE,A,AS,LOW,AC,TR,G,1.7,92,SDR,12W,Market Truck,6.96
NE,A,AS,LOW,AC,TR,G,5.8,92,SDR,12W,Market Truck,6.96
NE,A,AS,LO2,AC,TR,G,15,176,PDR,6W,Market Truck,4.65
NE,A,AS,LO2,AC,TR,G,11,157,PDR,6W,Market Truck,5.32
NE,A,AS,LO2,AC,TR,G,4,157,PDR,6W,Market Truck,5.32
NE,A,AS,LO3,AC,TR,G,11,48,PDR,6W,Market Truck,9.81
NE,A,AS,DHE,AC,TR,G,40,546,PDR,12W,Market Truck,2.45
NE,A,AS,DHE,AC,TR,G,35,566,PDR,18W,Market Truck,2.47
NE,A,AS,DHE,AC,TR,G,5,566,PDR,14W,Market Truck,2.47
NE,A,AS,TEZ,AC,TR,G,30,222,PDR,12W,Market Truck,3.69
NE,A,AS,TEZ,AC,TR,G,25,167,PDR,12W,Market Truck,4.13
NE,A,AS,TEZ,AC,TR,G,25,167,PDR,12W,Market Truck,4.13
NE,A,AS,TEZ,AC,TR,G,10,162,PDR,12W,Market Truck,4.26
NE,A,AS,TEZ,AC,TR,G,40,167,PDR,12W,Market Truck,4.13
NE,A,AS,TEZ,AC,TR,G,10,162,PDR,14W,Market Truck,4.26
NE,B,TR,AGR,BB,TR,G,25,15,SDR,12W,Market Truck,42.33
NE,A,AS,LO1,AC,TR,G,12,118,PDR,6W,Market Truck,6.72
NE,A,AS,TIN,AC,TR,G,10,471,PDR,14W,Market Truck,3.01
NE,A,AP,NOR,AD,TR,G,35,392,PDR,12W,Market Truck,2.86
NE,A,AP,NOR,AD,TR,G,35,392,PDR,12W,Market Truck,3.03
NE,A,AS,LO2,AC,TR,G,20,51,SDR,6W,Market Truck,3.69
NE,A,AS,LO2,AC,TR,G,20,72,SDR,6W,Market Truck,2.61
NE,A,AS,LOW,AC,TR,G,30,234,PDR,14W,Market Truck,3.29
NE,A,AS,LOW,AC,TR,G,18,234,PDR,10W,Market Truck,3.29
NE,A,AS,LOW,AC,TR,G,20,213,PDR,10W,Market Truck,3.19
NE,A,AS,LOW,AC,TR,G,8,196,PDR,14W,Market Truck,3.47
NE,A,AS,LO1,AC,TR,G,12,12,SDR,6W,Market Truck,27.08
NE,A,AS,LO1,AC,TR,G,12,12,SDR,6W,Market Truck,27.08
NE,A,AS,LO1,AC,TR,G,12.5,20,SDR,6W,Market Truck,26.9
NE,A,AS,LO1,AC,TR,G,10,20,SDR,6W,Market Truck,26.9
NE,A,AS,JOR,AC,TR,G,40,328,PDR,12W,Market Truck,3.17
NE,A,AS,LO1,AC,TR,G,12,20,SDR,6W,Market Truck,26.9
NE,A,AS,LO1,AC,TR,G,12,20,SDR,6W,Market Truck,26.9
NE,A,AS,JOR,AC,TR,G,40,328,PDR,12W,Market Truck,3.17
NE,A,AS,LO3,AC,TR,G,11,25,PDR,6W,Market Truck,18.08
NE,A,AS,NAG,AC,TR,G,20,143,PDR,6W,Market Truck,5.17
NE,A,AS,NAG,AC,TR,G,5,176,PDR,6W,Market Truck,4.32
NE,A,AS,NAG,AC,TR,G,15,176,PDR,6W,Market Truck,4.32
NE,A,AS,NAG,AC,TR,G,20,33,SDR,6W,Market Truck,0.61
NE,A,AS,JOR,AC,TR,G,25,328,PDR,14W,Market Truck,3.17
NE,A,AS,JOR,AC,TR,G,10,328,PDR,14W,Market Truck,3.17
NE,A,AS,LO1,AC,NT,G,20,69,PDR,6W,Market Truck,8.75
NE,A,AS,LO1,AC,NT,G,20,53,PDR,6W,Market Truck,11.23
NE,A,MG,TUR,AB,TR,G,12,319,PDR,6W,Market Truck,6.65
NE,A,AS,LO3,AC,TR,G,11,78,PDR,6W,Market Truck,7.27
NE,C,NL,DIM,CA,TR,G,35,80,SDR,16W,Market Truck,10.3
NE,C,NL,DIM,CA,TR,G,35,80,SDR,16W,Market Truck,10.3
NE,C,NL,DIM,CA,TR,G,35,80,SDR,16W,Market Truck,10.3
NE,C,NL,DIM,CA,TR,G,35,80,SDR,16W,Market Truck,10.3
NE,A,AS,TEZ,AC,TR,G,40,263,PDR,12W,Market Truck,3.1
NE,B,TR,AGR,BB,NT,L,25,418,PDR,12W,Market Truck,5.18
NE,B,TR,AGR,BB,NT,L,25,474,PDR,12W,Market Truck,5.13
NE,A,AS,DIB,AC,NT,L,15,457,SDR,12W,Market Truck,2.33
NE,A,AS,DIB,AC,NT,L,25,457,SDR,12W,Market Truck,2.33
NE,A,AS,DIB,AC,NT,L,40,457,SDR,12W,Market Truck,2.33
NE,B,MZ,MIZ,BA,NT,L,10.25,393,SDR,6W,Market Truck,8.12
NE,B,MZ,MIZ,BA,NT,L,9.75,393,SDR,6W,Market Truck,8.12
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,JOR,AC,TR,G,5,264,PDR,12W,Market Truck,3.43
NE,A,AS,NAG,AC,TR,G,5,143,PDR,6W,Market Truck,5.17
NE,A,AS,JOR,AC,TR,G,5,281,PDR,14W,Market Truck,3.49
NE,B,TR,DHA,BB,TR,L,5,122,SDR,12W,Market Truck,4.43
NE,A,AS,SIV,AC,TR,G,5,321,PDR,14W,Market Truck,2.99
NE,A,AS,LOW,AC,TR,G,25,297,PDR,14W,Market Truck,4.36
NE,C,NL,DIM,CA,TR,G,35,80,SDR,16W,Market Truck,10.3
NE,C,NL,DIM,CA,TR,G,35,80,SDR,16W,Market Truck,10.3
NE,A,AS,TUR,AC,TR,G,25,272,PDR,12W,Market Truck,4.83
NE,A,AS,TUR,AC,TR,G,25,274,PDR,12W,Market Truck,4.8
NE,A,AP,DHE,AD,TR,G,2.5,144,SDR,6W,Market Truck,13.19
NE,A,AP,DHE,AD,TR,G,0.8,144,SDR,6W,Market Truck,13.19
NE,A,AS,DIB,AC,NT,G,25,427,PDR,12W,Market Truck,2.77
NE,A,AS,DIB,AC,NT,G,25,427,PDR,14W,Market Truck,2.77
NE,A,AS,DIB,AC,NT,G,25,427,PDR,16W,Market Truck,2.77
NE,A,AS,LO1,AC,TR,G,12.5,126,PDR,6W,Market Truck,6.92
NE,A,AS,JOR,AC,TR,G,10,219,PDR,14W,Market Truck,4.22
NE,A,AS,JOR,AC,TR,G,5,228,PDR,14W,Market Truck,4.06
NE,A,AS,SIV,AC,TR,G,5,303,PDR,12W,Market Truck,2.97
NE,A,AS,NAG,AC,TR,G,5,173,PDR,6W,Market Truck,4.39
NE,A,AS,NAG,AC,TR,G,5,173,PDR,6W,Market Truck,4.39
NE,A,AS,NAG,AC,TR,G,5,173,PDR,6W,Market Truck,4.39
NE,A,AS,SIV,AC,TR,G,5,303,PDR,12W,Market Truck,2.97
NE,A,AS,SIV,AC,TR,G,10,303,PDR,12W,Market Truck,2.97
NE,A,AS,LO1,AC,TR,G,15,128,PDR,6W,Market Truck,5.9
NE,A,AS,LO1,AC,TR,G,5,129,PDR,6W,Market Truck,6.05
NE,A,AS,JOR,AC,TR,G,5,328,PDR,12W,Market Truck,3.17
NE,A,AS,LO2,AC,TR,G,25,157,PDR,12W,Market Truck,5.12
NE,A,AS,LO3,AC,TR,G,11,108,PDR,6W,Market Truck,6.01
NE,A,AS,TEZ,AC,TR,G,20,294,PDR,12W,Market Truck,2.81
NE,A,AS,TEZ,AC,TR,G,20,321,PDR,12W,Market Truck,2.74
NE,A,AS,TEZ,AC,TR,G,20,320,PDR,12W,Market Truck,2.75
NE,A,AS,TEZ,AC,TR,G,12,320,PDR,12W,Market Truck,2.75
NE,A,AS,TEZ,AC,TR,G,20,276,PDR,12W,Market Truck,3
NE,A,AS,TEZ,AC,TR,G,20,222,PDR,12W,Market Truck,3.69
NE,A,AS,TEZ,AC,TR,G,20,290,PDR,12W,Market Truck,3.11
NE,A,AS,TEZ,AC,TR,G,20,308,PDR,12W,Market Truck,2.86
NE,A,AS,TEZ,AC,TR,G,20,194,PDR,12W,Market Truck,3.45
NE,A,AS,TEZ,AC,TR,G,20,263,PDR,12W,Market Truck,3.1
NE,A,AS,TEZ,AC,TR,G,20,308,PDR,12W,Market Truck,2.86
NE,A,AS,TEZ,AC,TR,G,20,321,PDR,12W,Market Truck,2.74
NE,A,AS,LO3,AC,TR,G,20,25,PDR,6W,Market Truck,18.08
NE,A,AS,LO3,AC,TR,G,20,50,PDR,6W,Market Truck,9.42
NE,A,AS,LO3,AC,TR,G,5,49,PDR,6W,Market Truck,9.61
NE,A,AS,LO3,AC,TR,G,12,48,PDR,6W,Market Truck,9.81
NE,A,AS,LO3,AC,TR,G,12,52,PDR,6W,Market Truck,9.06
NE,A,AS,LO3,AC,TR,G,12,71,PDR,6W,Market Truck,7.99
NE,A,AS,LO3,AC,TR,G,12,50,PDR,6W,Market Truck,9.42
NE,A,AS,SIV,AC,TR,G,5,324,PDR,16W,Market Truck,3.05
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.02
NE,A,AS,LO3,AC,TR,G,20,49,PDR,6W,Market Truck,9.67
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.13
NE,A,AS,LO3,AC,TR,G,20,50,PDR,6W,Market Truck,9.48
NE,A,AS,LO3,AC,TR,G,20,25,PDR,6W,Market Truck,18.96
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.02
NE,A,AS,LO3,AC,TR,G,20,52,PDR,6W,Market Truck,9.06
NE,A,AS,LO1,AC,NT,G,12,48,PDR,6W,Market Truck,11.79
NE,A,AS,LO3,AC,TR,G,20,71,PDR,6W,Market Truck,7.99
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.7
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.47
NE,A,AS,LO3,AC,TR,G,20,90,PDR,6W,Market Truck,6.3
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.02
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.02
NE,A,AS,LO3,AC,TR,G,20,71,PDR,6W,Market Truck,7.99
NE,A,AS,LO3,AC,TR,G,20,25,PDR,6W,Market Truck,18.08
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,20,48,PDR,6W,Market Truck,9.81
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.02
NE,A,AS,LO1,AC,TR,G,10.5,492,PDR,6W,Market Truck,1.51
NE,A,AS,LO3,AC,TR,G,20,90,PDR,6W,Market Truck,6.3
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,61,PDR,6W,Market Truck,9.3
NE,A,AS,LO3,AC,TR,G,20,20,PDR,6W,Market Truck,23.55
NE,A,AS,LO3,AC,TR,G,20,71,PDR,6W,Market Truck,7.99
NE,A,AS,LO3,AC,TR,G,20,52,PDR,6W,Market Truck,10.48
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.7
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,141,PDR,6W,Market Truck,4.02
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.7
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,MG,TUR,AB,TR,G,10,271,PDR,12W,Market Truck,4.68
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,20,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,124,PDR,6W,Market Truck,4.57
NE,A,AS,LO3,AC,TR,G,20,61,PDR,6W,Market Truck,9.3
NE,A,AS,TEZ,AC,TR,G,10,308,PDR,12W,Market Truck,2.86
NE,A,AS,TEZ,AC,TR,G,10,320,PDR,12W,Market Truck,2.75
NE,A,MG,TUR,AB,TR,G,25,257,PDR,12W,Market Truck,4.65
NE,A,MG,TUR,AB,TR,G,25,258,PDR,12W,Market Truck,4.75
NE,B,TR,AGR,BB,TR,L,25,418,PDR,12W,Market Truck,5.45
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.68
NE,B,MZ,MIZ,BA,TR,L,20,393,SDR,6W,Market Truck,8.12
NE,B,MZ,MIZ,BA,TR,L,20,393,SDR,6W,Market Truck,8.12
NE,B,MZ,MIZ,BA,TR,L,20,393,SDR,6W,Market Truck,8.12
NE,A,MG,TUR,AB,TR,G,25,251,PDR,12W,Market Truck,4.88
NE,A,AS,TEZ,AC,TR,G,25,167,PDR,12W,Market Truck,4.13
NE,A,AS,TEZ,AC,TR,G,10,160,PDR,12W,Market Truck,4.25
NE,A,MG,TUR,AB,TR,G,25,251,PDR,12W,Market Truck,4.88
NE,A,AS,TEZ,AC,TR,G,25,184,PDR,12W,Market Truck,3.64
NE,A,MG,TUR,AB,TR,G,25,312,PDR,12W,Market Truck,4.46
NE,A,MG,TUR,AB,TR,G,25,327,PDR,12W,Market Truck,4.51
NE,A,AS,DIB,AC,NT,L,40,450,SDR,12W,Market Truck,2.42
NE,B,TR,DHA,BB,NT,L,30,219,PDR,12W,Market Truck,6.53
NE,A,MG,TUR,AB,TR,G,25,327,PDR,12W,Market Truck,4.6
NE,A,MG,TUR,AB,TR,G,25,315,PDR,12W,Market Truck,4.05
NE,A,MG,TUR,AB,TR,G,25,315,PDR,12W,Market Truck,4.05
NE,A,MG,TUR,AB,TR,G,25,282,PDR,12W,Market Truck,4.86
NE,A,AS,TEZ,AC,NT,G,30,157,PDR,10W,Market Truck,3.99
NE,A,MG,TUR,AB,TR,G,25,315,PDR,12W,Market Truck,4.05
NE,A,MG,TUR,AB,TR,G,25,292,PDR,12W,Market Truck,4.69
NE,A,MG,TUR,AB,TR,G,25,281,PDR,12W,Market Truck,4.68
NE,A,AS,LO1,AC,TR,G,10.5,492,PDR,6W,Market Truck,1.51
NE,A,MG,TUR,AB,TR,G,25,327,PDR,12W,Market Truck,4.6
NE,A,MG,TUR,AB,TR,G,25,312,PDR,12W,Market Truck,4.46
NE,A,MG,TUR,AB,TR,G,25,315,PDR,12W,Market Truck,4.05
NE,A,MG,TUR,AB,TR,G,25,312,PDR,12W,Market Truck,4.58
NE,B,TR,DHA,BB,NT,L,30,219,PDR,14W,Market Truck,6.53
NE,A,AS,LO2,AC,TR,G,25,223,PDR,12W,Market Truck,4.12
NE,B,MZ,MIZ,BA,TR,L,12.5,312,SDR,6W,Market Truck,8.97
NE,A,AS,LO2,AC,TR,G,25,217,PDR,12W,Market Truck,4.24
NE,A,AS,LO2,AC,TR,G,20,212,PDR,6W,Market Truck,4.81
NE,A,AS,LO2,AC,TR,G,25,230,PDR,12W,Market Truck,4.07
NE,A,AS,LO1,AC,TR,G,9.5,108,PDR,6W,Market Truck,8.33
NE,A,AS,NAG,AC,TR,G,12,160,PDR,6W,Market Truck,4.66
NE,A,AS,LO2,AC,TR,G,10,230,PDR,12W,Market Truck,4.07
NE,A,AS,LO2,AC,TR,G,15,230,PDR,12W,Market Truck,4.07
NE,A,AS,JOR,AC,TR,G,5,278,PDR,12W,Market Truck,3.44
NE,A,AS,SIV,AC,TR,G,5,324,PDR,12W,Market Truck,3.05
NE,A,AS,TEZ,AC,TR,G,15,198,PDR,12W,Market Truck,3.38
NE,A,MG,TUR,AB,TR,G,15,271,PDR,12W,Market Truck,4.68
NE,A,AS,NAG,AC,TR,G,5,166,PDR,6W,Market Truck,4.58
NE,A,AS,NAG,AC,TR,G,5,176,PDR,6W,Market Truck,4.32
NE,C,MA,MAN,CB,NT,L,6,280,SDR,6W,Market Truck,9.29
NE,B,TR,DHA,BB,NT,L,24.5,214,PDR,12W,Market Truck,6.5
NE,A,AS,LO3,AC,TR,G,5,124,PDR,6W,Market Truck,4.7
NE,B,AS,CAC,AC,TR,L,5,75,SDR,6W,Market Truck,6.71
NE,B,AS,CAC,AC,TR,L,5,82,SDR,6W,Market Truck,6.13
NE,B,AS,CAC,AC,TR,L,5,82,SDR,6W,Market Truck,6.13
NE,B,AS,CAC,AC,TR,L,5,53,SDR,6W,Market Truck,5.43
NE,B,AS,CAC,AC,TR,L,5,44,SDR,6W,Market Truck,7.64
NE,B,AS,CAC,AC,TR,L,5,69,SDR,6W,Market Truck,7.29
NE,B,AS,CAC,AC,TR,L,5,58,SDR,6W,Market Truck,8.67
NE,A,AS,NAG,AC,TR,G,5,143,PDR,6W,Market Truck,5.25
NE,A,AS,NAG,AC,TR,G,5,143,PDR,6W,Market Truck,5.25
NE,A,AS,LOW,AC,TR,G,17.5,80,SDR,12W,Market Truck,7
NE,C,MA,MAN,CB,NT,L,17,258,SDR,6W,Market Truck,9.69
NE,A,AS,LOW,AC,TR,G,5,123,SDR,12W,Market Truck,5.53
NE,A,AS,SIV,AC,TR,G,20,346,PDR,14W,Market Truck,3.09
NE,A,AS,NAG,AC,TR,G,20,135,PDR,6W,Market Truck,5.16
NE,A,AS,NAG,AC,TR,G,20,166,PDR,6W,Market Truck,4.98
NE,A,AS,NAG,AC,TR,G,20,173,PDR,6W,Market Truck,4.39
NE,A,AS,NAG,AC,TR,G,20,166,PDR,6W,Market Truck,4.58
NE,A,AS,LOW,AC,TR,G,15,55,SDR,12W,Market Truck,9.09
NE,A,AS,LOW,AC,TR,G,20,301,PDR,12W,Market Truck,2.53
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.68
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.87
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.68
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.87
NE,B,TR,AGR,BB,TR,L,25,103,SDR,12W,Market Truck,4.71
NE,B,TR,AGR,BB,TR,L,25,103,SDR,12W,Market Truck,4.71
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.87
NE,A,MG,TUR,AB,TR,G,25,257,PDR,12W,Market Truck,4.82
NE,A,MG,TUR,AB,TR,G,25,251,PDR,12W,Market Truck,4.88
NE,A,MG,TUR,AB,TR,G,25,270,PDR,12W,Market Truck,4.72
NE,A,MG,TUR,AB,TR,G,25,258,PDR,12W,Market Truck,4.75
NE,A,AS,LO1,AC,TR,G,12,158,PDR,6W,Market Truck,5.69
NE,A,MG,TUR,AB,TR,G,25,257,PDR,12W,Market Truck,4.82
NE,A,MG,TUR,AB,TR,G,25,271,PDR,12W,Market Truck,4.87
NE,A,MG,TUR,AB,TR,G,25,272,PDR,12W,Market Truck,4.51
NE,A,AS,LO3,AC,TR,G,12,78,PDR,6W,Market Truck,7.27
NE,A,AS,LO3,AC,TR,G,12,124,PDR,6W,Market Truck,4.57
NE,A,MG,TUR,AB,TR,G,25,258,PDR,12W,Market Truck,4.75
NE,A,AS,NOR,AC,TR,G,40,512,PDR,12W,Market Truck,3
NE,A,AS,LOW,AC,TR,G,25,317,PDR,14W,Market Truck,2.51
NE,A,AS,LOW,AC,TR,G,25,344,PDR,12W,Market Truck,2.33
NE,A,AS,LOW,AC,TR,G,25,315,PDR,12W,Market Truck,2.77
NE,A,AS,JOR,AC,TR,G,5,202,PDR,12W,Market Truck,3.94
NE,A,AS,LOW,AC,TR,G,25,233,PDR,12W,Market Truck,2.94
NE,B,AS,CAC,AC,TR,L,25,91,SDR,12W,Market Truck,4.23
NE,A,AS,JOR,AC,TR,G,5,266,PDR,12W,Market Truck,3.52
NE,B,AS,CAC,AC,TR,L,25,69,SDR,12W,Market Truck,5.64
NE,B,AS,CAC,AC,TR,L,25,84,SDR,12W,Market Truck,4.46
NE,A,AS,LOW,AC,TR,G,25,293,PDR,12W,Market Truck,2.57
NE,A,AS,NOR,AC,TR,G,5,476,PDR,12W,Market Truck,2.58
NE,B,AS,CAC,AC,TR,L,25,97,SDR,12W,Market Truck,4.74
NE,B,AS,CAC,AC,TR,L,25,80,SDR,12W,Market Truck,4.33
NE,B,AS,CAC,AC,TR,L,25,83,SDR,12W,Market Truck,4.52
NE,B,AS,CAC,AC,TR,L,25,74,SDR,12W,Market Truck,4.68
NE,B,AS,CAC,AC,TR,L,25,80,SDR,12W,Market Truck,4.33
NE,A,AS,LOW,AC,TR,G,25,313,PDR,14W,Market Truck,2.55
NE,A,AS,NOR,AC,TR,G,5,476,PDR,12W,Market Truck,2.58
NE,A,AS,JOR,AC,TR,G,5,266,PDR,12W,Market Truck,3.52
NE,B,AS,CAC,AC,TR,L,25,53,SDR,12W,Market Truck,6.15
NE,B,TR,AGR,BB,TR,L,25,33,SDR,12W,Market Truck,6.97
NE,B,AS,CAC,AC,TR,L,25.5,53,SDR,12W,Market Truck,6.15
NE,A,AS,JOR,AC,TR,G,25,231,PDR,12W,Market Truck,4
NE,B,TR,DHA,BB,TR,L,25,145,SDR,12W,Market Truck,3.72
NE,B,TR,AGR,BB,TR,L,25,41,SDR,12W,Market Truck,3.29
NE,B,TR,AGR,BB,TR,L,25,33,SDR,12W,Market Truck,6.97
NE,B,AS,CAC,AC,TR,L,25,91,SDR,12W,Market Truck,4.23
NE,B,AS,CAC,AC,TR,L,25,80,SDR,12W,Market Truck,4.33
NE,B,AS,CAC,AC,TR,L,25,88,SDR,12W,Market Truck,4.26
NE,A,AS,NOR,AC,TR,G,5,460,PDR,14W,Market Truck,2.77
NE,B,AS,CAC,AC,TR,L,25.5,81,SDR,12W,Market Truck,4.27
NE,B,TR,DHA,BB,NT,L,25,214,PDR,12W,Market Truck,6.5
NE,B,MG,SHI,AB,NT,L,25,186,PDR,12W,Market Truck,7.34
NE,B,MG,SHI,AB,NT,L,25,186,PDR,12W,Market Truck,7.34
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,14W,Market Truck,5.97
NE,B,TR,DHA,BB,NT,L,25,214,PDR,12W,Market Truck,6.5
NE,B,TR,DHA,BB,NT,L,25,214,PDR,12W,Market Truck,6.5
NE,B,TR,DHA,BB,NT,L,25,214,PDR,12W,Market Truck,6.5
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,14W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
NE,A,AS,LO1,AC,NT,L,25,211,PDR,12W,Market Truck,5.97
